Date,AAPL,AMZN,GOOG,GOOGL,HD,INTC,JNJ,JPM,MA,MSFT,PG,T,UNH,V,VZ
2016-07-01,22.076417922973633,36.284000396728516,34.96049880981445,35.51250076293945,109.1368179321289,26.68885612487793,99.17597961425781,49.949134826660156,84.97459411621094,46.110836029052734,68.89311981201172,18.511005401611328,126.40251922607422,70.73193359375,38.91875457763672
2016-08-01,24.415525436401367,38.387001037597656,38.64400100708008,40.047000885009766,116.84089660644531,28.40020179748535,102.53665161132812,52.020172119140625,91.11946105957031,50.99593734741211,70.7679214477539,18.661088943481445,128.78054809570312,74.32172393798828,38.10219192504883
2016-09-01,24.70518684387207,38.53099822998047,38.43899917602539,39.56999969482422,113.59790802001953,29.576173782348633,98.01847839355469,54.8005485534668,93.56353759765625,52.229759216308594,72.32396697998047,17.70167350769043,121.8080062866211,77.34274291992188,36.74587631225586
2016-10-01,26.04541778564453,41.83700180053711,38.62799835205078,40.01900100708008,108.74864959716797,30.922788619995117,97.79621887207031,54.22981262207031,97.64647674560547,52.075584411621094,72.61062622070312,17.61956024169922,124.84966278076172,78.8268051147461,36.27049255371094
2016-11-01,25.807003021240234,39.27050018310547,39.18050003051758,40.27399826049805,101.46204376220703,28.344524383544922,94.93997955322266,56.64439010620117,100.78770446777344,54.23405075073242,71.67740631103516,16.05586051940918,125.69707489013672,77.64716339111328,33.70017623901367
2016-12-01,25.474170684814453,37.182498931884766,37.395999908447266,38.21649932861328,110.15132904052734,27.930356979370117,92.31391143798828,67.17333984375,96.19770050048828,54.052608489990234,67.55916595458984,17.07472038269043,145.6661834716797,71.90948486328125,35.26285171508789
2017-01-01,27.023710250854492,37.68349838256836,39.30699920654297,40.4005012512207,114.2691421508789,30.279951095581055,96.01045227050781,71.64115905761719,101.20060729980469,57.138729095458984,69.49037170410156,18.892864227294922,146.1277618408203,75.78951263427734,38.593292236328125
2017-02-01,29.955251693725586,41.61750030517578,39.784751892089844,40.762001037597656,116.93212890625,30.213764190673828,93.84719848632812,70.15464782714844,101.03501892089844,58.05177307128906,72.6447982788086,18.75657844543457,147.26817321777344,78.59232330322266,34.582183837890625
2017-03-01,32.66484451293945,42.65399932861328,41.762001037597656,42.837501525878906,124.79335021972656,29.937854766845703,103.33687591552734,77.29814147949219,108.06898498535156,59.65299606323242,76.24665069580078,18.747657775878906,152.00184631347656,84.99809265136719,35.59698486328125
2017-04-01,33.578495025634766,44.57550048828125,41.9275016784668,42.837501525878906,125.50152587890625,30.129491806030273,104.02934265136719,72.27704620361328,108.00164031982422,60.213340759277344,74.59959411621094,18.538066864013672,150.4335479736328,85.35149383544922,35.14677047729492
2017-05-01,34.25146484375,47.4114990234375,45.628501892089844,46.64099884033203,131.99827575683594,30.254480361938477,102.90301513671875,72.31026458740234,112.19589233398438,63.75908279418945,72.99984741210938,17.71341323852539,158.6097412109375,87.166259765625,33.179622650146484
2017-06-01,35.941436767578125,49.79750061035156,48.34749984741211,49.41450119018555,133.57034301757812,30.320056915283203,108.15412139892578,68.98795318603516,118.97371673583984,64.76197814941406,73.87161254882812,17.60921859741211,163.1429901123047,91.28221893310547,33.635223388671875
2017-07-01,33.6701774597168,47.68299865722656,44.935001373291016,45.972999572753906,132.5888671875,28.087190628051758,111.6142578125,77.46000671386719,116.44772338867188,62.97896194458008,73.5447006225586,17.264917373657227,170.26612854003906,89.3207015991211,32.5432243347168
2017-08-01,35.207027435302734,49.80950164794922,46.541500091552734,47.327999114990234,129.00750732421875,30.513124465942383,111.28671264648438,77.69387817382812,125.07311248779297,67.05314636230469,76.96016693115234,17.9187068939209,175.35635375976562,96.51612091064453,35.82009506225586
2017-09-01,38.6430778503418,48.912498474121094,46.867000579833984,47.5994987487793,130.5757598876953,29.676565170288086,110.7437515258789,76.58309936523438,128.6951904296875,68.67355346679688,78.16822814941406,17.273481369018555,182.21630859375,99.57543182373047,35.109405517578125
2017-10-01,36.23097229003906,47.95949935913086,47.66350173950195,48.37350082397461,142.0416717529297,33.01719284057617,110.90435028076172,80.87576293945312,136.98257446289062,69.2957992553711,77.52618408203125,18.024703979492188,180.79254150390625,101.05133056640625,36.16444778442383
2017-11-01,39.312068939208984,55.183998107910156,51.275001525878906,52.130001068115234,143.2194061279297,39.5039176940918,118.30811309814453,84.77584075927734,144.03440856933594,77.25540924072266,73.95365905761719,15.720386505126953,191.8630828857422,106.4469985961914,35.4638786315918
2017-12-01,40.436824798583984,58.11750030517578,50.50849914550781,51.253501892089844,157.03558349609375,38.011016845703125,119.0325927734375,88.02676391601562,144.8083038330078,78.65150451660156,76.90704345703125,17.1026554107666,208.3598175048828,106.30916595458984,37.999664306640625
2018-01-01,40.722869873046875,59.45050048828125,53.25,53.660499572753906,163.6593017578125,39.85713195800781,118.39483642578125,90.68126678466797,146.9558868408203,80.22900390625,77.15386962890625,18.05853271484375,203.19631958007812,109.9382553100586,39.690181732177734
2018-02-01,39.66379165649414,69.5,58.3849983215332,59.079498291015625,173.9907684326172,40.537723541259766,119.0666275024414,98.6857681274414,167.55374145507812,87.98589324951172,73.62553405761719,18.672204971313477,216.11427307128906,120.70069885253906,40.71967697143555
2018-03-01,41.539302825927734,74.67250061035156,53.47600173950195,53.570499420166016,156.356689453125,40.97548294067383,108.92619323730469,95.78099060058594,168.09637451171875,87.0768814086914,67.49363708496094,17.16545867919922,206.21905517578125,115.79434204101562,35.965293884277344
