Date,AMC,AR,COTY,DVN,EQT,EXAS,FTI,JLL,LYV,NOV,OKE,OXY,RRC,SON,TRGP
2016-07-01,274.72088623046875,26.280000686645508,22.80669593811035,28.545703887939453,40.94918441772461,12.3100004196167,18.8569278717041,93.98690032958984,23.520000457763672,32.75956344604492,29.431978225708008,60.28083038330078,42.7972297668457,39.71512222290039,29.136274337768555
2016-08-01,277.3521423339844,25.850000381469727,23.406871795654297,27.371862411499023,36.484161376953125,18.110000610351562,16.7463321685791,107.43319702148438,26.790000915527344,29.90594482421875,26.598295211791992,58.62385940551758,37.6400032043457,40.19850158691406,25.820573806762695
2016-09-01,297.5256652832031,25.760000228881836,22.584821701049805,33.30967330932617,37.047462463378906,18.200000762939453,19.17524528503418,113.71532440185547,26.770000457763672,31.427875518798828,29.60634994506836,61.2128791809082,37.59189224243164,41.343284606933594,30.336380004882812
2016-10-01,314.201171875,27.219999313354492,20.89820671081543,33.737667083740234,38.0338134765625,18.850000381469727,20.676883697509766,109.6285171508789,27.709999084472656,34.44770050048828,32.052127838134766,58.581233978271484,37.6485710144043,40.60101318359375,34.3410758972168
2016-11-01,299.3785705566406,25.93000030517578,19.703521728515625,28.76861572265625,33.582332611083984,15.8100004196167,22.489913940429688,94.49651336669922,27.010000228881836,30.41798973083496,30.83822250366211,55.5081787109375,31.362577438354492,39.7150764465332,31.38133430480957
2016-12-01,326.8760070800781,25.059999465942383,15.88228702545166,36.52368927001953,37.18320846557617,13.640000343322754,24.012304306030273,98.91152954101562,27.510000228881836,35.861793518066406,34.55963134765625,57.33431625366211,35.22273635864258,43.23202896118164,37.04610824584961
2017-01-01,339.0728759765625,23.68000030517578,16.511415481567383,35.980812072753906,33.101680755615234,13.40999984741211,25.181785583496094,100.7115249633789,27.399999618530273,36.071685791015625,37.30942153930664,58.77318572998047,31.399131774902344,42.87826156616211,41.41792678833008
2017-02-01,321.99725341796875,24.649999618530273,16.750198364257812,34.80387496948242,31.40190315246582,19.010000228881836,23.327224731445312,102.22628784179688,28.469999313354492,36.77766418457031,34.676822662353516,54.98345184326172,30.638235092163086,44.24509048461914,42.84823989868164
2017-03-01,296.627685546875,24.469999313354492,17.24502182006836,34.10840606689453,31.546037673950195,22.149999618530273,22.967391967773438,115.60333251953125,28.829999923706055,39.82099914550781,35.56942367553711,53.86930465698242,26.90116310119629,44.03403854370117,41.5566291809082
2017-04-01,310.9866027832031,22.739999771118164,15.793839454650879,32.16929626464844,31.478839874267578,22.940000534057617,22.462230682373047,107.19349670410156,30.670000076293945,37.90591049194336,35.5180549621582,52.45233154296875,27.537588119506836,42.471519470214844,43.167518615722656
2017-05-01,290.97021484375,21.479999542236328,16.132150650024414,30.087451934814453,30.036712646484375,31.420000076293945,20.80143928527832,114.62957000732422,32.29999923706055,32.72823715209961,34.43608474731445,50.049442291259766,25.571308135986328,42.374366760253906,41.20122146606445
2017-06-01,229.17184448242188,20.6200008392334,17.316070556640625,26.229883193969727,29.04939842224121,38.2400016784668,20.365478515625,116.40486907958984,34.77000045776367,31.180665969848633,32.766902923583984,49.794334411621094,22.30380630493164,42.119441986083984,33.82542037963867
2017-07-01,226.72866821289062,21.770000457763672,17.154739379882812,25.13554573059082,30.900856018066406,34.43000030517578,19.514324188232422,123.3299560546875,34.52000045776367,32.43131637573242,33.7931022644043,51.04072952270508,22.660715103149414,42.07049560546875,33.20585632324219
2017-08-01,203.2739715576172,20.299999237060547,18.131681442260742,25.28890609741211,33.06263732910156,38.0,19.54892349243164,124.7110366821289,37.540000915527344,30.49883460998535,36.8457145690918,51.26568603515625,19.583332061767578,39.696533203125,34.75825500488281
2017-09-01,138.28494262695312,19.8799991607666,14.946545600891113,24.621795654296875,32.395442962646484,41.619998931884766,18.213367462158203,121.0117416381836,40.099998474121094,29.35082244873047,35.96577835083008,49.78261947631836,17.21982765197754,40.15370559692383,33.49485778808594
2017-10-01,143.8684844970703,20.31999969482422,15.036856651306152,28.11504364013672,33.81834030151367,47.939998626708984,19.140642166137695,125.1253662109375,42.810001373291016,33.8685417175293,36.762386322021484,54.088558197021484,19.720706939697266,41.92168045043945,35.27714157104492
2017-11-01,131.634765625,19.68000030517578,13.82668399810791,30.020111083984375,32.110862731933594,53.0099983215332,19.20984649658203,129.03184509277344,42.470001220703125,32.632606506347656,35.89994812011719,55.2275276184082,17.798856735229492,42.67000198364258,32.28852081298828
2017-12-01,137.21017456054688,19.389999389648438,15.51082706451416,29.83574867248535,30.83685302734375,57.95000076293945,20.340255737304688,150.37509155273438,44.70000076293945,32.66134262084961,34.79259490966797,59.260353088378906,17.86646270751953,44.57805633544922,33.97174835205078
2018-01-01,150.93121337890625,19.780000686645508,18.085350036621094,32.490989685058594,30.345081329345703,51.790000915527344,22.15522575378418,152.2342529296875,42.650001525878906,35.31174850463867,36.48847579956055,63.11590576171875,17.32766342163086,44.64435577392578,37.73015213012695
2018-02-01,132.30979919433594,19.459999084472656,17.157432556152344,32.4832878112793,27.60149574279785,49.599998474121094,23.19136619567871,155.6658172607422,45.970001220703125,35.91627883911133,40.40046310424805,64.92457580566406,13.469549179077148,44.34606170654297,38.31948471069336
2018-03-01,144.5607147216797,19.489999771118164,17.426719665527344,23.496915817260742,25.966472625732422,43.7599983215332,20.103818893432617,160.12583923339844,42.09000015258789,33.97795867919922,38.21609878540039,55.992103576660156,13.314837455749512,39.62155532836914,35.49116134643555
