Date,AMC,AME,CRL,DFS,DTE,DVN,FERG,GIS,HD,MSFT,PRU,RARE,RUN,TMO,VIRT
2016-07-01,274.7208251953125,44.18545150756836,83.30000305175781,45.3070182800293,66.68038177490234,28.54570770263672,44.720760345458984,55.68340301513672,109.1368179321289,46.110843658447266,50.895660400390625,51.709999084472656,5.440000057220459,146.32510375976562,12.79884147644043
2016-08-01,277.3521423339844,44.832984924316406,88.44000244140625,47.543270111083984,65.94158935546875,27.371856689453125,47.1090202331543,55.81264877319336,116.84086608886719,50.99593734741211,53.6555061340332,63.529998779296875,5.070000171661377,156.4540252685547,12.345340728759766
2016-09-01,297.5257263183594,46.45185470581055,83.5999984741211,50.56349563598633,61.93189239501953,33.3096809387207,51.02821350097656,54.62830352783203,113.59791564941406,52.229759216308594,57.037452697753906,66.2750015258789,6.059999942779541,148.01161193847656,12.020365715026855
2016-10-01,314.20123291015625,45.25129318237305,83.68000030517578,48.026824951171875,62.87929916381836,33.737667083740234,50.43334197998047,49.774009704589844,108.7486343383789,52.075584411621094,58.91122055053711,70.8499984741211,6.170000076293945,156.18260192871094,10.895740509033203
2016-11-01,299.3785705566406,42.82795715332031,74.08000183105469,47.814876556396484,63.86137771606445,28.768611907958984,45.891845703125,48.38924789428711,101.4620590209961,54.23406982421875,60.9007453918457,60.220001220703125,4.860000133514404,143.32444763183594,9.201494216918945
2016-12-01,326.8759765625,47.13079833984375,70.0199966430664,58.04995346069336,63.400814056396484,36.523685455322266,51.311790466308594,47.57268142700195,110.15132904052734,54.05261993408203,74.65982818603516,74.69000244140625,5.0,137.0524444580078,10.779244422912598
2017-01-01,339.0728454589844,47.04725646972656,76.52999877929688,62.03310775756836,67.08744812011719,35.98081970214844,53.577510833740234,48.75041961669922,114.26913452148438,57.138729095458984,76.40119934082031,69.97000122070312,5.590000152587891,141.16366577148438,11.93150806427002
2017-02-01,321.9972229003906,48.8347053527832,81.91999816894531,58.65555191040039,66.89620971679688,34.80387496948242,55.26569366455078,48.55952453613281,116.93211364746094,58.05177688598633,76.9112319946289,75.0,5.570000171661377,150.27200317382812,13.195282936096191
2017-03-01,296.6277770996094,52.82063293457031,87.4800033569336,62.020172119140625,68.93867492675781,34.10840606689453,55.62109375,47.91069793701172,124.79334259033203,59.65298843383789,83.48799896240234,88.80000305175781,5.619999885559082,157.0319366455078,13.415918350219727
2017-04-01,310.9866027832031,51.387271881103516,89.47000122070312,58.20815658569336,70.00729370117188,32.1693000793457,55.5766716003418,46.32819366455078,125.50150299072266,60.21333312988281,78.0746841430664,64.69999694824219,5.28000020980835,152.02645874023438,12.737585067749023
2017-05-01,290.9701232910156,55.140533447265625,90.43000030517578,53.08549880981445,71.5774154663086,30.087446212768555,56.07612228393555,45.1573371887207,131.998291015625,63.75907897949219,78.8228759765625,63.41999816894531,5.380000114440918,163.86758422851562,11.493974685668945
2017-06-01,229.17184448242188,58.89381408691406,93.44999694824219,50.85372543334961,76.03292083740234,26.229887008666992,58.85084533691406,45.91529083251953,133.57032775878906,64.7619857788086,78.83695983886719,56.61000061035156,5.130000114440918,171.9321746826172,12.8137788772583
2017-07-01,226.72866821289062,58.69169616699219,101.05999755859375,53.60861587524414,73.22599792480469,25.135547637939453,55.53907775878906,44.024436950683594,132.58888244628906,62.97896957397461,81.40823364257812,63.810001373291016,7.239999771118164,171.67747497558594,13.464030265808105
2017-08-01,203.2739715576172,59.08482360839844,98.87000274658203,52.17951583862305,74.2320327758789,25.28890609741211,54.196468353271484,44.43764877319336,129.00746154785156,67.05313873291016,84.5262451171875,63.34000015258789,7.440000057220459,172.72080993652344,12.507782936096191
2017-09-01,138.28492736816406,60.62858963012695,108.22000122070312,51.60614013671875,77.79135131835938,24.621797561645508,52.048301696777344,43.246212005615234,130.57577514648438,68.67353057861328,76.7748794555664,56.31999969482422,6.769999980926514,183.0858612060547,13.764366149902344
2017-10-01,143.8684539794922,64.1692123413086,108.93000030517578,56.429874420166016,75.05059814453125,28.115041732788086,58.269039154052734,41.70860290527344,142.04165649414062,69.29582977294922,79.84886932373047,57.31999969482422,5.53000020980835,188.68685913085938,12.63995361328125
2017-11-01,131.63475036621094,64.57247161865234,117.76000213623047,57.936729431152344,77.08465576171875,30.020109176635742,64.16449737548828,42.283451080322266,143.21945190429688,77.25537109375,82.30506896972656,47.9900016784668,5.739999771118164,191.2974395751953,11.011492729187012
2017-12-01,137.21017456054688,69.21975708007812,104.29000091552734,61.92060852050781,80.53065490722656,29.83574867248535,66.38800811767578,45.883602142333984,157.03561401367188,78.6514892578125,86.48389434814453,51.70000076293945,5.440000057220459,189.33700561523438,13.699743270874023
2018-01-01,150.9311981201172,69.941162109375,110.6500015258789,66.96168518066406,76.39923858642578,32.49098587036133,65.46229553222656,47.980308532714844,163.65928649902344,80.22900390625,86.52133178710938,49.290000915527344,5.920000076293945,190.2544708251953,14.44771957397461
2018-02-01,132.309814453125,74.9019546508789,107.80000305175781,70.1917953491211,73.41934967041016,32.48328399658203,69.89118957519531,47.42413330078125,173.9907684326172,87.98587799072266,90.32093048095703,51.27000045776367,6.070000171661377,219.21954345703125,15.55000114440918
2018-03-01,144.5607147216797,71.31596374511719,104.94000244140625,65.7706527709961,70.96078491210938,23.49691390991211,64.57288360595703,41.434661865234375,156.35670471191406,87.07687377929688,78.5338363647461,48.43000030517578,6.940000057220459,202.311767578125,23.33803367614746
