Date,Mkt-RF,SMB,HML,RF
2016-08-01,0.0049,0.0115,0.0318,0.0002
2016-09-01,0.0025,0.0212,-0.0124,0.0002
2016-10-01,-0.0202,-0.044000000000000004,0.0409,0.0002
2016-11-01,0.048600000000000004,0.0571,0.0821,0.0001
2016-12-01,0.0181,0.001,0.0353,0.0003
2017-01-01,0.0194,-0.011899999999999999,-0.0275,0.0004
2017-02-01,0.035699999999999996,-0.020499999999999997,-0.0167,0.0004
2017-03-01,0.0017000000000000001,0.011399999999999999,-0.0335,0.0003
2017-04-01,0.0109,0.0073,-0.0213,0.0005
2017-05-01,0.0106,-0.025699999999999997,-0.0378,0.0006
2017-06-01,0.0078000000000000005,0.0225,0.0148,0.0006
2017-07-01,0.0187,-0.0151,-0.0031,0.0007000000000000001
2017-08-01,0.0016,-0.0167,-0.0209,0.0009
2017-09-01,0.025099999999999997,0.0447,0.031400000000000004,0.0009
2017-10-01,0.0225,-0.0194,0.002,0.0009
2017-11-01,0.031200000000000002,-0.0055000000000000005,-0.0003,0.0008
2017-12-01,0.0106,-0.0132,0.0006,0.0009
2018-01-01,0.0557,-0.0313,-0.0129,0.0012
2018-02-01,-0.0365,0.0025,-0.0104,0.0011
2018-03-01,-0.0235,0.0406,-0.0021,0.0011
2018-04-01,0.0028000000000000004,0.0113,0.0054,0.0014000000000000002
2018-05-01,0.0265,0.0525,-0.032,0.0014000000000000002
2018-06-01,0.0048,0.011399999999999999,-0.023399999999999997,0.0014000000000000002
2018-07-01,0.0319,-0.0222,0.004699999999999999,0.0016
2018-08-01,0.0344,0.011399999999999999,-0.0394,0.0016
2018-09-01,0.0006,-0.0227,-0.017,0.0015
2018-10-01,-0.0768,-0.0478,0.034,0.0019
2018-11-01,0.0169,-0.0068000000000000005,0.003,0.0018
2018-12-01,-0.09570000000000001,-0.023799999999999998,-0.0184,0.002
2019-01-01,0.084,0.028999999999999998,-0.0046,0.0021
2019-02-01,0.034,0.020499999999999997,-0.026699999999999998,0.0018
2019-03-01,0.011000000000000001,-0.0305,-0.0417,0.0019
2019-04-01,0.0397,-0.0174,0.0215,0.0021
2019-05-01,-0.0694,-0.0132,-0.023700000000000002,0.0021
2019-06-01,0.0693,0.0029,-0.0070999999999999995,0.0018
2019-07-01,0.011899999999999999,-0.019299999999999998,0.0048,0.0019
2019-08-01,-0.0258,-0.023799999999999998,-0.0478,0.0016
2019-09-01,0.0143,-0.0096,0.0675,0.0018
2019-10-01,0.0206,0.0029,-0.0191,0.0016
2019-11-01,0.0387,0.0077,-0.0202,0.0012
2019-12-01,0.0277,0.0073,0.0175,0.0014000000000000002
2020-01-01,-0.0011,-0.0311,-0.0625,0.0013
2020-02-01,-0.08130000000000001,0.010700000000000001,-0.0381,0.0012
2020-03-01,-0.13390000000000002,-0.0483,-0.1387,0.0013
2020-04-01,0.1365,0.0245,-0.013300000000000001,0.0
2020-05-01,0.0558,0.024700000000000003,-0.048799999999999996,0.0001
2020-06-01,0.0246,0.0269,-0.022000000000000002,0.0001
2020-07-01,0.057699999999999994,-0.0233,-0.0141,0.0001
2020-08-01,0.07629999999999999,-0.0022,-0.0297,0.0001
2020-09-01,-0.0363,0.0002,-0.0271,0.0001
2020-10-01,-0.021,0.0438,0.0425,0.0001
2020-11-01,0.1247,0.057999999999999996,0.0209,0.0001
2020-12-01,0.0463,0.0489,-0.0151,0.0001
2021-01-01,-0.0003,0.0736,0.0301,0.0001
2021-02-01,0.0278,0.020499999999999997,0.07150000000000001,0.0
2021-03-01,0.0308,-0.023700000000000002,0.0739,0.0
2021-04-01,0.0493,-0.0319,-0.0095,0.0
2021-05-01,0.0029,-0.0025,0.0709,0.0
2021-06-01,0.0275,0.0168,-0.0787,0.0
2021-07-01,0.0127,-0.0397,-0.0178,0.0
2021-08-01,0.0291,-0.0042,-0.0015,0.0
2021-09-01,-0.0437,0.0070999999999999995,0.0508,0.0
2021-10-01,0.0665,-0.0235,-0.0049,0.0
2021-11-01,-0.0155,-0.0132,-0.0045000000000000005,0.0
2021-12-01,0.031,-0.0167,0.0326,0.0001
2022-01-01,-0.0625,-0.0594,0.1275,0.0
2022-02-01,-0.0229,0.0219,0.0308,0.0
2022-03-01,0.0305,-0.0161,-0.0181,0.0001
2022-04-01,-0.0946,-0.0139,0.0617,0.0001
2022-05-01,-0.0034000000000000002,-0.0183,0.0839,0.0003
2022-06-01,-0.0843,0.021,-0.059699999999999996,0.0006
2022-07-01,0.09570000000000001,0.0281,-0.0405,0.0008
2022-08-01,-0.0377,0.013999999999999999,0.0029,0.0019
2022-09-01,-0.0935,-0.008100000000000001,0.0005,0.0019
2022-10-01,0.0783,0.0006,0.0801,0.0023
2022-11-01,0.046,-0.0352,0.0138,0.0029
2022-12-01,-0.0641,-0.0069,0.0137,0.0033
2023-01-01,0.0665,0.0501,-0.0401,0.0034999999999999996
2023-02-01,-0.0258,0.011699999999999999,-0.008100000000000001,0.0034000000000000002
2023-03-01,0.025099999999999997,-0.055099999999999996,-0.0885,0.0036
2023-04-01,0.0060999999999999995,-0.0335,-0.0004,0.0034999999999999996
2023-05-01,0.0034999999999999996,0.0161,-0.07719999999999999,0.0036
2023-06-01,0.0646,0.0154,-0.0026,0.004
2023-07-01,0.0321,0.0208,0.041100000000000005,0.0045000000000000005
2023-08-01,-0.0239,-0.0316,-0.0106,0.0045000000000000005
