Ticker,Sector,LatestQuarter,Beta,TrailingPE,ForwardPE,ReturnOnEquityTTM,PriceToBookRatio,PEGRatio,ProfitMargin,EPS,DividendYield,EVToEBITDA
VZ,TECHNOLOGY,2023-09-30,0.373,7.19,7.39,0.228,1.798,5.51,0.156,4.97,0.0745,7.19
UNP,ENERGY & TRANSPORTATION,2023-09-30,1.107,20.28,17.95,0.494,11.39,2.105,0.264,10.43,0.0246,13.3
IBM,TECHNOLOGY,2023-09-30,0.762,19.23,15.55,0.328,6.75,1.276,0.113,7.75,0.0446,25.81
HON,MANUFACTURING,2023-09-30,1.053,23.14,23.47,0.301,8.15,2.053,0.149,8.07,0.0231,17.99
QCOM,MANUFACTURING,2023-09-30,1.223,18.43,12.15,0.371,7.57,1.022,0.202,6.74,0.0266,8.44
AMAT,MANUFACTURING,2023-07-31,1.585,19.88,15.97,0.474,7.74,3.775,0.243,7.58,0.0085,11.75
BMY,LIFE SCIENCES,2023-09-30,0.369,12.85,9.97,0.269,5.13,2.437,0.184,3.94,0.0451,10.29
NKE,MANUFACTURING,2023-08-31,1.088,32.75,36.36,0.339,11.02,3.63,0.0982,3.24,0.0128,24.74
GE,MANUFACTURING,2023-09-30,1.197,11.77,18.15,0.35,2.829,0.741,0.119,9.61,0.0028,112.71
SPGI,TRADE & SERVICES,2023-09-30,1.132,51.3,28.25,0.0691,3.102,4.763,0.202,7.68,0.0091,20.9
LOW,TRADE & SERVICES,2023-07-31,1.059,18.84,14.6,0,321.82,1.028,0.0648,10.33,0.0226,13.24
UPS,ENERGY & TRANSPORTATION,2023-09-30,1.103,13.99,14.53,0.473,9.39,2.032,0.0919,9.87,0.0469,9.51
NOW,TECHNOLOGY,2023-09-30,0.994,82.01,45.66,0.271,18.69,1.523,0.187,7.74,0,115.48
NEE,ENERGY & TRANSPORTATION,2023-09-30,0.536,14.55,28.33,0.128,4.478,2.228,0.278,3.79,0.0339,28.52
BKNG,ENERGY & TRANSPORTATION,2023-09-30,1.356,21.74,17.15,0.348,21.21,0.465,0.257,141.41,0.0763,18.64
