Ticker,Price,Date,EPS,BVPS,PE,ROE,ROA,PB,ICR,DE,NPM,DY,DPR,EV,EV_EBITDA
MMM,172.06724548339844,2021-03-31,2.8015698355058616,23.854746111684147,15.354538311225904,0.4720930232558139,0.1376854599406528,7.213124158932852,15.719696969696969,1.320421511627907,0.1834820924189357,0.0344084017665606,0.5283251231527094,113276080869.72348,12.825643214416155
ABT,114.16438293457033,2021-03-31,1.0090936616761648,18.888567469701865,28.283891592614022,0.2136940587569274,0.0985367864257745,6.044099591866628,16.133333333333333,0.5720755616471009,0.173773987206823,0.0157750423354187,0.4461795872838817,213998070502.2277,19.910501535376607
ABBV,95.37510681152344,2021-03-31,2.00847936687394,7.750141322781232,11.871556709089852,1.0366156090444931,0.0944312662374336,12.306240988299416,7.1155063291139244,0.0006564551422319,0.2730976172175249,0.0550502551857622,0.6535322262876443,158972563949.58496,6.108690591361242
ACHC,58.43999862670898,2021-03-31,0.1095125864922056,26.53794153551613,133.4093196467155,0.0169138454803505,0.0085859796351378,2.202130054002035,10.672539489671932,0.6510546784398078,0.0195307946181274,0.0002908191348196,0.038797982916538,6502561436.028538,38.28549395933055
ACN,248.48765563964844,2021-02-28,2.265523016428552,28.78647845062936,27.42056181262869,0.3148037743225963,0.1441385069515746,8.632096352661565,196.22629455279085,0.1897741356837632,0.119196235975389,0.0142003007283755,0.389380223880338,152344465091.12946,20.87508709223649
AYI,126.15943145751952,2021-02-28,1.7472222222222222,53.68055555555556,18.051428984382763,0.1301940491591203,0.0748764954466996,2.3501886325850987,12.91304347826087,0.2936610608020699,0.081720150708068,0.0041393831296557,0.0747217806041335,4610539532.470703,11.619303257234636
ADM,54.60265350341797,2021-03-31,1.2238010657193603,23.77264653641208,11.15431564674322,0.1322393359243798,0.0535374334667236,2.296868942201458,10.42528735632184,0.1325752123218655,0.0364685333192187,0.0270645732121605,0.3018867924528302,32810293922.42432,6.728936407388088
ADBE,439.05999755859375,2021-03-05,2.6325678496868474,28.27974947807933,41.69503148901,0.3723608445297505,0.2018811286772063,15.5255971379423,48.766666666666666,0.3474826517053004,0.3229193341869398,0.0,0.0,211564738830.5664,34.05742737130818
ADP,178.90846252441406,2021-03-31,1.903051643192488,13.319014084507042,23.50283860719144,0.5715292832090801,0.059601857825271,13.432560502546815,79.97777777777777,0.3537602002150196,0.1983072821114943,0.0208777785852132,0.4906870605649439,76330705035.40039,16.44066189269415
ADT,7.915273189544678,2021-03-31,-0.8748561512466891,54.39601790117819,-2.2618784751828174,-0.0643323673314505,-0.011964789633147,0.1455119969245623,-23.568345323741006,-0.0142495911562135,-0.0339468392525656,0.2675149167980707,-0.6050862320958784,268333630.7616233,0.2750717893126254
WMS,99.10992431640624,2021-03-31,0.2760095011876484,14.858544082716222,89.77039186146091,0.096386365188879,0.0327346725041345,6.670231199279682,369.5505617977528,0.9651932704224528,0.0446094471581067,0.0043128038735829,0.3871620937531639,7689538283.325195,29.48487815505297
ACM,64.19154357910156,2021-03-31,0.2684818675762251,19.943296493282688,59.772699138496606,0.0558277473114299,0.0131510510869101,3.2187027656497307,52.53333333333333,0.7461176513096672,0.0120655336089419,0.359268818617654,21.474467005076143,10591538384.227066,32.529294791852166
AES,24.871225357055664,2021-03-31,-0.2221363915222582,5.068612122774772,-27.99093969544781,-0.1753035238377258,-0.0168167485725648,4.906910364141281,0.2631578947368421,5.888066331063074,-0.0561669829222011,0.0241390851120858,-0.6756756756756757,34568636299.70511,26.591258692080853
AFL,48.51064300537109,2021-03-31,1.8994956714122229,47.16126027791693,6.38467406578831,0.1611064386505934,0.0327016825053586,1.0286121006839593,26.85483870967742,0.2472354608603557,0.2203101039359345,0.0265281435103419,0.1693735498839907,35968534268.25714,5.40068082105963
AGCO,126.59133911132812,2021-03-31,2.001848072156587,41.47993813705364,15.809309017011405,0.1954317187753118,0.0725671595106047,3.0518690431277493,57.41176470588236,0.4212862465575895,0.0317206562894404,0.0050334645702319,0.0795755968169761,10382775199.06128,12.203543957523836
A,118.73358917236328,2021-01-31,0.9442622950819672,15.750819672131149,31.43554227219688,0.2398001665278934,0.1190820756667355,7.538248271767444,17.42105263157895,0.5201915070774354,0.1889763779527559,0.0065168626434766,0.2048611111111111,37383744697.5708,24.85621322976782
ADC,60.32115936279297,2021-03-31,0.4694307394634764,43.64864044520592,32.12463218308597,0.0430475374934373,0.0281525672435643,1.381971093429973,3.670642752939157,0.4899884668567771,0.3868994847678886,0.0630152726200278,2.0243424548352817,5232977697.188339,20.357661862924
AGNC,12.271931648254396,2021-03-31,1.857496666031625,21.64983806439322,1.6516761338894184,0.3431890179514255,0.045590040329651,0.5668371103633167,65.86206896551724,4.859292502639915,0.4979570990806946,0.1359923897952399,0.2246153846153846,60699536922.16873,15.114426524444406
AIG,44.59766387939453,2021-03-31,4.502064807617375,73.95999978603265,2.4765116554928563,0.2473555736371033,0.0265302281010968,0.602997079616228,14.666666666666666,0.4217042390593341,0.2681610626816106,0.0295357041727948,0.0730134158926728,61514494380.40745,2.388355893011626
AL,47.73545455932617,2021-03-31,0.7041867724313405,56.40840719749293,16.947014779371074,0.0523268367626954,0.013353563551244,0.8462471629840272,1.796309543038666,2.5149923493500213,0.1771002912639761,0.0162210171140371,0.262331731912667,20278761168.05988,15.62216786078772
APD,264.8371276855469,2021-03-31,2.134927797833935,59.2725631768953,31.01242205406741,0.1487011048074052,0.0723424914656197,4.468123419855437,17.481994459833796,0.6289701560560105,0.1890887290167865,0.0202085923765244,0.626717395899387,60906007495.11719,15.41768111966312
