,Company,Ticker,GICS Sector,GICS Sub-Industry
516,Kinder Morgan,KMI,Energy,Oil & Gas Storage & Transportation
517,Kinsale Capital Group,KNSL,Financials,
518,Kirby,KEX,Industrials,Marine
519,KKR,KKR,Financials,
520,KLA,KLAC,Information Technology,Semiconductor Materials & Equipment
521,Knight-Swift,KNX,Industrials,Cargo Ground Transportation
522,Kohl's,KSS,Consumer Discretionary,General Merchandise Stores
523,Kraft Heinz,KHC,Consumer Staples,Packaged Foods & Meats
524,Kroger,KR,Consumer Staples,Food Retail
525,Kyndryl,KD,Information Technology,IT Consulting & Other Services
526,L3Harris,LHX,Industrials,Aerospace & Defense
527,Labcorp,LH,Health Care,Health Care Services
528,Lam Research,LRCX,Information Technology,Semiconductor Materials & Equipment
529,Lamar Advertising,LAMR,Real Estate,Other Specialized REITs
530,Lamb Weston,LW,Consumer Staples,Packaged Foods & Meats
531,Landstar,LSTR,Industrials,Cargo Ground Transportation
532,Las Vegas Sands,LVS,Consumer Discretionary,Casinos & Gaming
533,Lattice Semiconductor,LSCC,Information Technology,Semiconductors
534,Lazard,LAZ,Financials,
535,Lear,LEA,Consumer Discretionary,Automotive Parts & Equipment
536,Leggett & Platt,LEG,Consumer Discretionary,Home Furnishings
537,Leidos,LDOS,Industrials,Diversified Support Services
538,Lennar (Class A),LEN,Consumer Discretionary,Homebuilding
539,Lennar (Class B),LEN.B,Consumer Discretionary,Homebuilding
540,Lennox International,LII,Industrials,Building Products
541,Liberty Broadband (Series A),LBRDA,Communication Services,
542,Liberty Broadband (Series C),LBRDK,Communication Services,
543,Liberty Formula 1 (Series A),FWONA,Communication Services,
544,Liberty Formula 1 (Series C),FWONK,Communication Services,
545,Liberty Live (Series A),LLYVA,Communication Services,
546,Liberty Live (Series C),LLYVK,Communication Services,
547,Liberty SiriusXM (Series A),LSXMA,Communication Services,
548,Liberty SiriusXM (Series C),LSXMK,Communication Services,
549,Lilly,LLY,Health Care,Pharmaceuticals
550,Lincoln Electric,LECO,Industrials,Industrial Machinery & Supplies & Components
551,Lincoln Financial,LNC,Financials,Multi-line Insurance
552,Linde,LIN,Materials,Industrial Gases
553,Lithia Motors,LAD,Consumer Discretionary,Automotive Retail
554,Littelfuse,LFUS,Information Technology,Electronic Components
555,Live Nation Entertainment,LYV,Communication Services,Movies & Entertainment
556,LKQ,LKQ,Consumer Discretionary,Distributors
557,Lockheed Martin,LMT,Industrials,Aerospace & Defense
558,Loews Corporation,L,Financials,Multi-line Insurance
559,Louisiana-Pacific,LPX,Materials,Forest Products
560,Lowe's,LOW,Consumer Discretionary,Home Improvement Retail
561,LPL Financial,LPLA,Financials,
562,Lucid Motors,LCID,Consumer Discretionary,Automobile Manufacturers
563,Lululemon,LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
564,Lumentum,LITE,Information Technology,
565,Lyft,LYFT,Industrials,Passenger Ground Transportation
566,LyondellBasell,LYB,Materials,Specialty Chemicals
567,M&T Bank,MTB,Financials,Regional Banks
568,Macy's,M,Consumer Discretionary,Department Stores
569,Madison Square Garden Sports,MSGS,Communication Services,
570,Manhattan Associates,MANH,Information Technology,
571,ManpowerGroup,MAN,Industrials,Human Resource & Employment Services
572,Marathon Oil,MRO,Energy,Oil & Gas Exploration & Production
573,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing
574,Maravai LifeSciences,MRVI,Health Care,
575,Markel,MKL,Financials,
576,MarketAxess,MKTX,Financials,Financial Exchanges & Data
577,Marriott International,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
578,Marriott Vacations Worldwide,VAC,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
579,Marsh McLennan,MMC,Financials,Insurance Brokers
580,Martin Marietta,MLM,Materials,Construction Materials
581,Marvell,MRVL,Information Technology,Application Software
582,Masco,MAS,Industrials,Building Products
583,Masimo,MASI,Health Care,Health Care Equipment
584,MasTec,MTZ,Industrials,Construction & Engineering
585,Mastercard,MA,Financials,Transaction & Payment Processing Services
586,Match Group,MTCH,Communication Services,Interactive Media & Services
587,Mattel,MAT,Consumer Discretionary,Leisure Products
588,McCormick,MKC,Consumer Staples,Packaged Foods & Meats
589,McDonald's,MCD,Consumer Discretionary,Restaurants
590,McKesson,MCK,Health Care,Health Care Distributors
591,MDU Resources,MDU,Utilities,Multi-Utilities
592,Medical Properties Trust,MPW,Real Estate,Health Care REITs
593,Medpace,MEDP,Health Care,
594,Medtronic,MDT,Health Care,Health Care Equipment
595,Merck,MRK,Health Care,Pharmaceuticals
596,Mercury Systems,MRCY,Industrials,Electrical Components & Equipment
597,Meta,META,Communication Services,Interactive Media & Services
598,Metlife,MET,Financials,Life & Health Insurance
599,Mettler Toledo,MTD,Health Care,Life Sciences Tools & Services
600,MGIC,MTG,Financials,Reinsurance
601,MGM Resorts International,MGM,Consumer Discretionary,Casinos & Gaming
602,Microchip,MCHP,Information Technology,Semiconductors
603,Micron,MU,Information Technology,Semiconductors
604,Microsoft,MSFT,Information Technology,Systems Software
605,Mid-America Apartments,MAA,Real Estate,Residential REITs
606,Middleby,MIDD,Industrials,Industrial Machinery & Supplies & Components
607,Mirati Therapeutics,MRTX,Health Care,
608,Mister Car Wash,MCW,Consumer Discretionary,
609,MKS Instruments,MKSI,Information Technology,Semiconductor Materials & Equipment
610,Moderna,MRNA,Health Care,Biotechnology
611,Mohawk Industries,MHK,Consumer Discretionary,Home Furnishings
612,Molina Healthcare,MOH,Health Care,Managed Health Care
613,Molson Coors,TAP,Consumer Staples,Brewers
614,Mondelez International,MDLZ,Consumer Staples,Packaged Foods & Meats
615,MongoDB,MDB,Information Technology,
616,Monolithic Power Systems,MPWR,Information Technology,Semiconductors
617,Monster Beverage,MNST,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
618,Moody's,MCO,Financials,Financial Exchanges & Data
619,Morgan Stanley,MS,Financials,Investment Banking & Brokerage
620,Morningstar,MORN,Financials,
621,Mosaic,MOS,Materials,Fertilizers & Agricultural Chemicals
622,Motorola Solutions,MSI,Information Technology,Communications Equipment
623,MP Materials,MP,Materials,Diversified Metals & Mining
624,MSA Safety,MSA,Industrials,Office Services & Supplies
625,MSC Industrial Direct,MSM,Industrials,Trading Companies & Distributors
626,MSCI,MSCI,Financials,Financial Exchanges & Data
627,Murphy USA,MUSA,Consumer Discretionary,
628,Nasdaq,NDAQ,Financials,Financial Exchanges & Data
629,Natera,NTRA,Health Care,
630,National Fuel,NFG,Utilities,Gas Utilities
631,National Storage Affiliates,NSA,Real Estate,
632,nCino,NCNO,Information Technology,
633,NCR Atleos,NATL,Financials,
634,NCR Voyix,VYX,Information Technology,IT Consulting & Other Services
635,Netapp,NTAP,Information Technology,"Technology Hardware, Storage & Peripherals"
636,Netflix,NFLX,Communication Services,Movies & Entertainment
637,Neurocrine Biosciences,NBIX,Health Care,Biotechnology
638,New Fortress Energy,NFE,Energy,
639,New Relic,NEWR,Information Technology,
640,New York Community Bank,NYCB,Financials,Thrifts & Mortgage Finance
641,New York Times Company,NYT,Communication Services,Publishing
642,Newell Brands,NWL,Consumer Discretionary,Housewares & Specialties
643,NewMarket,NEU,Materials,Specialty Chemicals
644,Newmont,NEM,Materials,Gold
645,News Corp (Class A),NWSA,Communication Services,Publishing
646,News Corp (Class B),NWS,Communication Services,Publishing
647,Nexstar,NXST,Communication Services,
648,NextEra Energy,NEE,Utilities,Multi-Utilities
649,Nike,NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
650,NiSource,NI,Utilities,Multi-Utilities
651,NNN Reit,NNN,Real Estate,Retail REITs
652,Nordson,NDSN,Industrials,Industrial Machinery & Supplies & Components
653,Nordstrom,JWN,Consumer Discretionary,Department Stores
654,Norfolk Southern,NSC,Industrials,Rail Transportation
655,Northern Trust,NTRS,Financials,Asset Management & Custody Banks
656,Northrop Grumman,NOC,Industrials,Aerospace & Defense
657,Norwegian Cruise Line Holdings,NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
658,Nov,NOV,Energy,Oil & Gas Equipment & Services
659,Novocure,NVCR,Health Care,
660,NRG Energy,NRG,Utilities,Independent Power Producers & Energy Traders
661,Nubank,NU,Financials,
662,Nucor,NUE,Materials,Steel
663,Nutanix,NTNX,Information Technology,
664,Nvent Electric,NVT,Industrials,
665,Nvidia,NVDA,Information Technology,Semiconductors
666,NVR,NVR,Consumer Discretionary,Homebuilding
667,O'Reilly Auto Parts,ORLY,Consumer Discretionary,Automotive Retail
668,Occidental Petroleum,OXY,Energy,Oil & Gas Exploration & Production
669,OG&E,OGE,Utilities,Multi-Utilities
670,Okta,OKTA,Information Technology,Application Software
671,Olaplex,OLPX,Consumer Staples,
672,Old Dominion,ODFL,Industrials,Cargo Ground Transportation
673,Old Republic,ORI,Financials,Property & Casualty Insurance
674,Olin,OLN,Materials,Diversified Chemicals
675,Ollie's,OLLI,Consumer Discretionary,General Merchandise Stores
676,Omega Healthcare Investors,OHI,Real Estate,
677,Omnicom,OMC,Communication Services,Advertising
678,ON Semiconductor,ON,Information Technology,Semiconductors
679,OneMain Financial,OMF,Financials,
680,Oneok,OKE,Energy,Oil & Gas Storage & Transportation
681,Oracle,ORCL,Information Technology,Application Software
682,Organon,OGN,Health Care,Pharmaceuticals
683,Oshkosh,OSK,Industrials,Construction Machinery & Heavy Transportation Equipment
684,Otis,OTIS,Industrials,Industrial Machinery & Supplies & Components
685,Ovintiv,OVV,Energy,
686,Owens Corning,OC,Industrials,Building Products
687,Paccar,PCAR,Industrials,Construction Machinery & Heavy Transportation Equipment
688,Packaging Corporation of America,PKG,Materials,Paper & Plastic Packaging Products & Materials
689,Palantir,PLTR,Information Technology,
690,Palo Alto Networks,PANW,Information Technology,Application Software
691,Paramount (Class A),PARAA,Communication Services,Movies & Entertainment
692,Paramount (Class B),PARA,Communication Services,Movies & Entertainment
693,Park Hotels & Resorts,PK,Real Estate,Hotel & Resort REITs
694,Parker Hannifin,PH,Industrials,Industrial Machinery & Supplies & Components
695,Paychex,PAYX,Industrials,Human Resource & Employment Services
696,Paycom,PAYC,Information Technology,Application Software
697,Paycor,PYCR,Information Technology,
698,Paylocity,PCTY,Information Technology,Application Software
699,PayPal,PYPL,Financials,Transaction & Payment Processing Services
700,Pegasystems,PEGA,Information Technology,
701,Peloton,PTON,Consumer Discretionary,
702,Penn Entertainment,PENN,Consumer Discretionary,Casinos & Gaming
703,Penske Automotive,PAG,Consumer Discretionary,
704,Pentair,PNR,Industrials,Industrial Machinery & Supplies & Components
705,Penumbra,PEN,Health Care,
706,PepsiCo,PEP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
707,Performance Food Group,PFGC,Consumer Staples,Food Distributors
708,Perrigo,PRGO,Health Care,Pharmaceuticals
709,Petco,WOOF,Consumer Discretionary,
710,Pfizer,PFE,Health Care,Pharmaceuticals
711,PG&E,PCG,Utilities,
712,Philip Morris International,PM,Consumer Staples,Tobacco
713,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing
714,PHINIA,PHIN,Consumer Discretionary,
715,Pilgrim's Pride,PPC,Consumer Staples,Packaged Foods & Meats
716,Pinnacle Financial Partners,PNFP,Financials,Regional Banks
717,Pinnacle West,PNW,Utilities,Multi-Utilities
718,Pinterest,PINS,Communication Services,
719,Pioneer Natural Resources,PXD,Energy,Oil & Gas Exploration & Production
720,Planet Fitness,PLNT,Consumer Discretionary,
721,Playtika,PLTK,Communication Services,
722,Plug Power,PLUG,Industrials,
723,PNC Financial Services,PNC,Financials,Regional Banks
724,Polaris,PII,Consumer Discretionary,Leisure Products
725,Pool Corporation,POOL,Consumer Discretionary,Distributors
726,Popular,BPOP,Financials,
727,Post Holdings,POST,Consumer Staples,Packaged Foods & Meats
728,PPG Industries,PPG,Materials,Specialty Chemicals
729,PPL,PPL,Utilities,Electric Utilities
730,Premier,PINC,Health Care,
731,T. Rowe Price,TROW,Financials,Asset Management & Custody Banks
732,Primerica,PRI,Financials,Life & Health Insurance
733,Principal,PFG,Financials,Life & Health Insurance
734,Procore,PCOR,Information Technology,
735,Procter & Gamble,PG,Consumer Staples,Personal Care Products
736,Progressive,PGR,Financials,Property & Casualty Insurance
737,Prologis,PLD,Real Estate,Industrial REITs
738,Prosperity Bancshares,PB,Financials,Regional Banks
739,Prudential,PRU,Financials,Life & Health Insurance
740,PTC,PTC,Information Technology,Application Software
741,Public Storage,PSA,Real Estate,Self-Storage REITs
742,PSEG,PEG,Utilities,Electric Utilities
743,PulteGroup,PHM,Consumer Discretionary,Homebuilding
744,Pure Storage,PSTG,Information Technology,
745,PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
746,Qiagen,QGEN,Health Care,
747,Qorvo,QRVO,Information Technology,Semiconductors
748,Qualcomm,QCOM,Information Technology,Semiconductors
749,Quanta,PWR,Industrials,Construction & Engineering
750,QuantumScape,QS,Consumer Discretionary,
751,Quest Diagnostics,DGX,Health Care,Health Care Services
752,QuidelOrtho,QDEL,Health Care,Health Care Supplies
753,R1 RCM,RCM,Health Care,
754,Ralph Lauren,RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
755,Range Resources,RRC,Energy,Oil & Gas Exploration & Production
756,Raymond James,RJF,Financials,Investment Banking & Brokerage
757,Rayonier,RYN,Real Estate,Timber REITs
758,RTX Corporation,RTX,Industrials,Aerospace & Defense
759,RBC Bearings,RBC,Industrials,
760,Realty Income,O,Real Estate,Retail REITs
761,Regal Rexnord,RRX,Industrials,Electrical Components & Equipment
762,Regency Centers,REG,Real Estate,Retail REITs
763,Regeneron,REGN,Health Care,Biotechnology
764,Regions,RF,Financials,Regional Banks
765,Reinsurance Group of America,RGA,Financials,Reinsurance
766,Reliance Steel,RS,Materials,Steel
767,RenaissanceRe,RNR,Financials,Reinsurance
768,Repligen,RGEN,Health Care,Biotechnology
769,Republic Services,RSG,Industrials,Environmental & Facilities Services
770,Resmed,RMD,Health Care,Health Care Equipment
771,Revvity,RVTY,Health Care,Health Care Equipment
772,Rexford Industrial,REXR,Real Estate,
773,Reynolds Consumer Products,REYN,Consumer Staples,
774,RH,RH,Consumer Discretionary,Homefurnishing Retail
775,RingCentral,RNG,Information Technology,
776,Ritchie Bros. Auctioneers,RBA,Industrials,
777,Rithm Capital,RITM,Financials,
778,Rivian,RIVN,Consumer Discretionary,
779,RLI Corp.,RLI,Financials,
780,Robert Half,RHI,Industrials,Human Resource & Employment Services
781,Robinhood,HOOD,Financials,
782,Roblox,RBLX,Communication Services,
783,Rocket Companies,RKT,Financials,
784,Rockwell Automation,ROK,Industrials,Electrical Components & Equipment
785,Roivant Sciences,ROIV,Health Care,
786,Roku,ROKU,Communication Services,
787,Rollins,ROL,Industrials,Environmental & Facilities Services
788,Roper,ROP,Industrials,Industrial Conglomerates
789,Ross,ROST,Consumer Discretionary,Apparel Retail
790,Royal Caribbean Cruises,RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
791,Royal Gold,RGLD,Materials,Precious Metals & Minerals
792,Royalty Pharma,RPRX,Health Care,
793,RPM International,RPM,Materials,Specialty Chemicals
794,Ryan Specialty,RYAN,Financials,
795,Ryder,R,Industrials,Cargo Ground Transportation
796,S&P Global,SPGI,Financials,Financial Exchanges & Data
797,Saia,SAIA,Industrials,
798,SAIC,SAIC,Industrials,Diversified Support Services
799,Salesforce,CRM,Information Technology,Application Software
800,Sallie Mae,SLM,Financials,Consumer Finance
801,Sarepta Therapeutics,SRPT,Health Care,
802,SBA Communications,SBAC,Real Estate,Telecom Tower REITs
803,Henry Schein,HSIC,Health Care,Health Care Distributors
804,Schlumberger,SLB,Energy,Oil & Gas Equipment & Services
805,Schneider National,SNDR,Industrials,
806,Scotts Miracle-Gro Company,SMG,Materials,Fertilizers & Agricultural Chemicals
807,Seaboard,SEB,Consumer Staples,
808,Seagen,SGEN,Health Care,Biotechnology
809,Sealed Air,SEE,Materials,Paper & Plastic Packaging Products & Materials
810,SEI Investments Company,SEIC,Financials,Asset Management & Custody Banks
811,Sempra,SRE,Utilities,Multi-Utilities
812,Sensata Technologies,ST,Industrials,
813,SentinelOne,S,Information Technology,
814,Service Corporation International,SCI,Consumer Discretionary,Specialized Consumer Services
815,ServiceNow,NOW,Information Technology,Systems Software
816,Sherwin-Williams,SHW,Materials,Specialty Chemicals
817,Shift4,FOUR,Information Technology,
818,Shockwave Medical,SWAV,Health Care,Health Care Equipment
819,Silgan Holdings,SLGN,Materials,"Metal, Glass & Plastic Containers"
820,Simon,SPG,Real Estate,Retail REITs
821,Sirius XM,SIRI,Communication Services,Broadcasting
822,SiteOne Landscape Supply,SITE,Industrials,
823,Skechers,SKX,Consumer Discretionary,Footwear
824,Skyworks,SWKS,Information Technology,Semiconductors
825,Smartsheet,SMAR,Information Technology,
826,A. O. Smith,AOS,Industrials,Building Products
827,Smucker,SJM,Consumer Staples,Packaged Foods & Meats
828,Snap-on,SNA,Industrials,Industrial Machinery & Supplies & Components
829,Snowflake,SNOW,Information Technology,
830,SoFi,SOFI,Financials,
831,Sonoco,SON,Materials,Paper & Plastic Packaging Products & Materials
832,Sotera Health,SHC,Health Care,
833,Southern Company,SO,Utilities,Electric Utilities
834,Southern Copper,SCCO,Materials,
835,Southwest Airlines,LUV,Industrials,Passenger Airlines
836,Southwestern Energy,SWN,Energy,Oil & Gas Exploration & Production
837,Spectrum Brands,SPB,Consumer Staples,
838,Spirit Aerosystems,SPR,Industrials,
839,Spirit Realty Capital,SRC,Real Estate,
840,Splunk,SPLK,Information Technology,Application Software
841,Spotify,SPOT,Communication Services,
842,SS&C Technologies,SSNC,Information Technology,
843,SSR Mining,SSRM,Materials,
844,STAG Industrial,STAG,Real Estate,
845,Stanley Black & Decker,SWK,Industrials,Industrial Machinery & Supplies & Components
846,Starbucks,SBUX,Consumer Discretionary,Restaurants
847,Starwood Property Trust,STWD,Financials,
848,State Street,STT,Financials,Asset Management & Custody Banks
849,Steel Dynamics,STLD,Materials,Steel
850,Stericycle,SRCL,Industrials,Environmental & Facilities Services
851,Steris,STE,Health Care,Health Care Equipment
852,Stifel,SF,Financials,Investment Banking & Brokerage
853,Stryker,SYK,Health Care,Health Care Equipment
854,Sun Communities,SUI,Real Estate,
855,Sunrun,RUN,Industrials,Building Products
856,Synchrony,SYF,Financials,Consumer Finance
857,Synopsys,SNPS,Information Technology,Application Software
858,Synovus,SNV,Financials,Regional Banks
859,Sysco,SYY,Consumer Staples,Food Distributors
860,T-Mobile,TMUS,Communication Services,Wireless Telecommunication Services
861,Take-Two Interactive,TTWO,Communication Services,Interactive Home Entertainment
862,Tandem Diabetes Care,TNDM,Health Care,Health Care Equipment
863,Tapestry,TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
864,Targa Resources,TRGP,Energy,Oil & Gas Storage & Transportation
865,Target,TGT,Consumer Staples,Consumer Staples Merchandise Retail
866,TD Synnex,SNX,Information Technology,Technology Distributors
867,TechnipFMC,FTI,Energy,Oil & Gas Equipment & Services
868,Teladoc Health,TDOC,Health Care,
869,Teledyne,TDY,Industrials,Aerospace & Defense
870,Teleflex,TFX,Health Care,Health Care Equipment
871,Tempur Sealy International,TPX,Consumer Discretionary,Home Furnishings
872,Tenet Health,THC,Health Care,Health Care Facilities
873,Teradata,TDC,Information Technology,IT Consulting & Other Services
874,Teradyne,TER,Information Technology,Semiconductor Materials & Equipment
875,Tesla,TSLA,Consumer Discretionary,Automobile Manufacturers
876,Tetra Tech,TTEK,Industrials,Environmental & Facilities Services
877,Texas Instruments,TXN,Information Technology,Semiconductors
878,Texas Pacific Land,TPL,Energy,
879,Texas Roadhouse,TXRH,Consumer Discretionary,
880,Textron,TXT,Industrials,Aerospace & Defense
881,Thermo Fisher Scientific,TMO,Health Care,Life Sciences Tools & Services
882,Third Federal S&L,TFSL,Financials,
883,Thor Industries,THO,Consumer Discretionary,Leisure Products
884,Timken,TKR,Industrials,Industrial Machinery & Supplies & Components
885,TJX Companies,TJX,Consumer Discretionary,Apparel Retail
886,TKO Group Holdings,TKO,Communication Services,Movies & Entertainment
887,Toast,TOST,Information Technology,
888,Toll Brothers,TOL,Consumer Discretionary,Homebuilding
889,TopBuild,BLD,Consumer Discretionary,
890,Toro,TTC,Industrials,Agricultural & Farm Machinery
891,TPG Inc.,TPG,Financials,
892,Tractor Supply,TSCO,Consumer Discretionary,Other Specialty Retail
893,Trade Desk (The),TTD,Information Technology,
894,Tradeweb,TW,Financials,
895,Trane Technologies,TT,Industrials,Building Products
896,Transdigm,TDG,Industrials,Aerospace & Defense
897,TransUnion,TRU,Industrials,
898,Travel + Leisure,TNL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
899,Travelers,TRV,Financials,Property & Casualty Insurance
900,Trex,TREX,Industrials,Building Products
901,Trimble,TRMB,Information Technology,Electronic Equipment & Instruments
902,Tripadvisor,TRIP,Communication Services,Interactive Media & Services
903,Truist,TFC,Financials,Regional Banks
904,Twilio,TWLO,Information Technology,
905,Tyler Technologies,TYL,Information Technology,Application Software
906,Tyson,TSN,Consumer Staples,Packaged Foods & Meats
907,U-Haul,UHAL,Industrials,
908,U-Haul (Series N),UHAL.B,Industrials,
909,U.S. Steel,X,Materials,Steel
910,Uber,UBER,Industrials,Passenger Ground Transportation
911,Ubiquiti,UI,Information Technology,
912,UDR,UDR,Real Estate,Residential REITs
913,UGI Corporation,UGI,Utilities,Gas Utilities
914,UiPath,PATH,Information Technology,
915,Ulta Beauty,ULTA,Consumer Discretionary,Other Specialty Retail
916,Ultragenyx,RARE,Health Care,
917,Under Armour (Class A),UAA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
918,Under Armour (Class C),UA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
919,Union Pacific,UNP,Industrials,Rail Transportation
920,United Airlines,UAL,Industrials,Passenger Airlines
921,United Parcel Service,UPS,Industrials,Air Freight & Logistics
922,United Rentals,URI,Industrials,Trading Companies & Distributors
923,United Therapeutics,UTHR,Health Care,Biotechnology
924,United Wholesale Mortgage,UWMC,Financials,
925,UnitedHealth Group,UNH,Health Care,Managed Health Care
926,Unity,U,Information Technology,
927,Universal Display,OLED,Information Technology,Semiconductors
928,Universal Health Services,UHS,Health Care,Health Care Facilities
929,Unum,UNM,Financials,Life & Health Insurance
930,US Bancorp,USB,Financials,Diversified Banks
931,US Foods,USFD,Consumer Staples,
932,Vail Resorts,MTN,Consumer Discretionary,
933,Valero,VLO,Energy,Oil & Gas Refining & Marketing
934,Valmont Industries,VMI,Industrials,Industrial Machinery & Supplies & Components
935,Valvoline,VVV,Materials,Commodity Chemicals
936,Veeva Systems,VEEV,Health Care,
937,Ventas,VTR,Real Estate,Health Care REITs
938,Veralto,VLTO,Industrials,
939,Verisign,VRSN,Information Technology,Internet Services & Infrastructure
940,Verisk,VRSK,Industrials,Research & Consulting Services
941,Verizon,VZ,Communication Services,Integrated Telecommunication Services
942,Vertex,VRTX,Health Care,Biotechnology
943,Vertiv,VRT,Industrials,
944,Vestis,VSTS,Consumer Discretionary,
945,VF Corporation,VFC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
946,Viasat,VSAT,Information Technology,Communications Equipment
947,Viatris,VTRS,Health Care,Pharmaceuticals
948,Vici Properties,VICI,Real Estate,Hotel & Resort REITs
949,Victoria's Secret,VSCO,Consumer Discretionary,Apparel Retail
950,Virtu Financial,VIRT,Financials,
951,Visa,V,Financials,Transaction & Payment Processing Services
952,Vistra Corp.,VST,Utilities,
953,VMware,VMW,Information Technology,
954,Vontier,VNT,Information Technology,Electronic Equipment & Instruments
955,Vornado Realty Trust,VNO,Real Estate,Office REITs
956,Voya Financial,VOYA,Financials,Multi-Sector Holdings
957,Vulcan Materials,VMC,Materials,Construction Materials
958,W. P. Carey,WPC,Real Estate,
959,Wabtec,WAB,Industrials,Construction Machinery & Heavy Transportation Equipment
960,Walgreens Boots Alliance,WBA,Consumer Staples,Drug Retail
961,Walmart,WMT,Consumer Staples,Consumer Staples Merchandise Retail
962,Warner Bros. Discovery,WBD,Communication Services,Broadcasting
963,Waste Management,WM,Industrials,Environmental & Facilities Services
964,Waters,WAT,Health Care,Health Care Distributors
965,Watsco,WSO,Industrials,Trading Companies & Distributors
966,Wayfair,W,Consumer Discretionary,
967,Webster Bank,WBS,Financials,Regional Banks
968,WEC Energy Group,WEC,Utilities,Electric Utilities
969,Wells Fargo,WFC,Financials,Diversified Banks
970,Welltower,WELL,Real Estate,Health Care REITs
971,Wendy's Company (The),WEN,Consumer Discretionary,Restaurants
972,Wesco,WCC,Industrials,
973,West Pharmaceutical Services,WST,Health Care,Health Care Supplies
974,Western Alliance Bancorp,WAL,Financials,
975,Western Digital,WDC,Information Technology,"Technology Hardware, Storage & Peripherals"
976,Western Union,WU,Information Technology,Data Processing & Outsourced Services
977,Westlake,WLK,Materials,
978,Westrock,WRK,Materials,Paper & Plastic Packaging Products & Materials
979,Wex,WEX,Financials,Transaction & Payment Processing Services
980,Weyerhaeuser,WY,Real Estate,Timber REITs
981,Whirlpool,WHR,Consumer Discretionary,Household Appliances
982,White Mountains,WTM,Financials,
983,Williams,WMB,Energy,Oil & Gas Storage & Transportation
984,Williams-Sonoma,WSM,Consumer Discretionary,Homefurnishing Retail
985,Willis Towers Watson,WTW,Financials,Insurance Brokers
986,WillScot Mobile Mini,WSC,Industrials,
987,Wingstop,WING,Consumer Discretionary,
988,Wintrust Financial,WTFC,Financials,Regional Banks
989,WK Kellogg Co,KLG,Consumer Staples,Packaged Foods & Meats
990,Wolfspeed,WOLF,Information Technology,Semiconductors
991,Woodward,WWD,Industrials,Electrical Components & Equipment
992,Workday,WDAY,Information Technology,Application Software
993,Wyndham Hotels & Resorts,WH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
994,Wynn Resorts,WYNN,Consumer Discretionary,Casinos & Gaming
995,Xcel Energy,XEL,Utilities,Multi-Utilities
996,XP Inc.,XP,Financials,Investment Banking & Brokerage
997,XPO Logistics,XPO,Industrials,Cargo Ground Transportation
998,Xylem,XYL,Industrials,Industrial Machinery & Supplies & Components
999,Yeti,YETI,Consumer Discretionary,Leisure Products
1000,Yum! Brands,YUM,Consumer Discretionary,Restaurants
1001,Zebra,ZBRA,Information Technology,Electronic Equipment & Instruments
1002,Zillow (Class A),ZG,Real Estate,
1003,Zillow (Class C),Z,Real Estate,
1004,Zimmer Biomet,ZBH,Health Care,Health Care Equipment
1005,Zions Bancorporation,ZION,Financials,Regional Banks
1006,Zoetis,ZTS,Health Care,Pharmaceuticals
1007,Zoom,ZM,Information Technology,Application Software
1008,ZoomInfo,ZI,Communication Services,
1009,Zscaler,ZS,Information Technology,Application Software
